Judul,penulis,dosen_pembimbing_1,dosen_pembimbing_2,abstrak
PENGEMBANGAN SISTEM INFORMASI ABSENSI SISWA BERBASIS JAVA DESKTOP DI SMA DARUL KHOLIL BANGKALAN,Penulis : Citra Pratiwi Paramitha,"Dosen Pembimbing I : Medika Risnasari, S.ST., M.T.","Dosen Pembimbing II :Sigit Dwi Saputro, S.Pd., M.Pd.","Pratiwi, Citra, Paramitha. Pengembangan Sistem Informasi Absensi Siswa Berbasis Java Desktop Di SMA Darul Kholil Bangkalan. Skripsi. Program Studi Pendidikan Informatika, Fakultas Ilmu Pendidikan, Universitas Trunojoyo Madura.
Pembimbing: (I) Medika Risnasari, M.T., dan (II) Sigit Dwi Saputro, S.Pd., M.Pd.
Kata-kata Kunci : sistem informasi, absensi, desktop, java.
Proses pengolahan data absensi di SMA Darul Kholil dilakukan oleh  guru wali kelas secara manual. Sistem pengolahan absensi dan pelanggaran yang demikian memerlukan adanya pembaharuan dengan memanfaatkan teknologi yang ada di lingkungan sekolah. Fasilitas yang terdapat di kantor guru berupa satu komputer dan printer menjadi alasan peneliti untuk mengembangkan sistem informasi absensi siswa berbasis java desktop. Penelitian ini bertujuan untuk mengembangkan sistem informasi absensi siswa berbasis desktop agar dapat menyelesaikan permasalahan kurang maksimalnya pengolahan data absensi di SMA Darul Kholil. Penelitian ini menggunakan metode penelitian pengembangan. Model penelitian yang digunakan adalah ADDIE. Tahap pertama yaitu analisis kebutuhan pengguna dan perangkat. Tahap kedua yaitu desain perancangan produk. Tahap ketiga yaitu proses pengembangan produk dan uji coba produk kepada ahli sistem. Tahap keempat yaitu implementasi produk terhadap pengguna. Tahap terakhir yaitu evaluasi produk berupa revisi apabila diperlukan. Penelitian ini menghasilkan sistem informasi absensi siswa berbasis java desktop untuk digunakan di SMA Darul Kholil. Sistem ini dinilai sangat layak berdasarkan hasil persentase uji coba pada ahli perancangan sistem sebesar 100% dan hasil uji pengguna sebesar 90%. "
PENGARUH MODEL PEMBELAJARAN KOOPERATIF METODE TIME TOKEN PADA MATERI STRUKTUR SISTEM OPERASI OPEN SOURCE TERHADAP HASIL BELAJAR SISWA,Penulis : UMMU HABIBAH,"Dosen Pembimbing I : Wanda Ramansyah, S.Pd,. M.Pd","Dosen Pembimbing II :Sigit Dwi Saputro, S.Pd,. M.Pd","ABSTRAK
Habibah, Ummu. 2017. Pengaruh Model Pembelajaran Kooperatif Metode Time Token Pada Materi Struktur Sistem Operasi Open Source Terhadap Hasil Belajar Siswa. Skripsi, Program Studi Pendidikan Informatika, Program Sarjana Universitas Trunojoyo Madura.  
Pembimbing : (1) Wanda Ramansya. S.Pd., M.Pd dan (II) Sigit Dwi Saputro. S.Pd., M.Pd 
Kata-kata Kunci : Model pembelajaran kooperatif, kooperatif metode time token, Hasil belajar, Struktur sistem operasi open source. 
Penelitian ini bertujuan untuk mengetahui pengaruh model pembelajaran kooperatif metode time token terhadap hasil belajar siswa pada materi sistem operasi open source. Penelitian yang dilaksanakan pada bulan mei 2017. Penelitian ini menggunakan jenis penelitian kuantitatif dengan metode penelitian âQuasi Experimental Design dengan desain Nonequivalent Control Group Design. Populasi dan sampel dalam penelitian ini adalah seluruh siswa kelas X Program Keahlian Rekayasa Perangkat Lunak (RPL) sebanyak 2 kelas yaitu kelas X RPL 1 dan X RPL 2 yang masing-masing kelas terdiri atas 25 siswa. Pengambilan data sampel dilakukan mengggunakan teknik sampel jenuh. Sampel penelitian ini berjumlah 25 siswa untuk kelas eksperimen dan 25 siswa untuk kelas kontrol. Pengambilan data menggunakan instrumen tes berupa pilihan ganda, hasil analisis data menggunakan signifikansi diperoleh hasil ?????????????????????????(2,328) >????????????????????????(2,069) dengan ???? = 0,05% yang berarti Ho ditolak dan Ha diterima, artinya terdapat pengaruh yang signifikan model pembelajaran kooperatif metode time token terhadap hasil belajar siswa pada materi struktur sistem operasi open source pada siswa kelas X RPL SMKN 2 Bangkalan. Peningkatan hasil belajar siswa pada kelas eksprimen dihitung dengan gain ternormalisasi menghasilkan rata-rata 0,66 berkategori sedang. Sehingga dapat disimpulkan bahwa pembelajaran dengan menerapkan model kooperatif metode time token  dapat  meningkatkan  hasil  belajar  siswa kelas X RPL 2 pada materi struktur sistem operasi open source. aktivitas siswa dengan menggunakan model pembelajaran kooperatif metode time token mengalami peningkatan dari pertemuan pertama dengan jumlah keseluruhan aktifitas siswa sebesar 62 ke pertemuan kedua dengan bertambahnya total keseluruhan aktivitas siswa menjadi 70 yang berarti bahwa keaktifan siswa masuk pada kategori sedang.
"
Pengaruh Metode Pembelajaran Probing Promting Terhadap Hasil Belajar Kognitif Siswa Kelas X TKI Pada Materi Instalasi Sistem Operasi Open-source Di SMKN 1 Sumenep.,Penulis : Husnol chotimah,"Dosen Pembimbing I : Ariesta Kartika Sari,S.Si,.M.Pd","Dosen Pembimbing II :Muchamad Arif, S.Pd,.M.Pd","Penelitian ini bertujuan untuk mengetahui pengaruh model pembelajaran Probing promting terhadap hasil belajar siswa kelas X TKI pada mata pelajaran instalasi sistem operasi open source. Penelitian yang dilaksanakan pada bulan Juni 2017 ini menggunakan menggunakan metode quasi eksperimental design . rancangan penelitian Nonequivelent Control group desaign.teknik sapel yang digunakan adalah teknik sampling jenuh. Sampel penelitian ini berjumlah 32 siswa untuk kelas eksperimen dan 34 siswa untuk kelas kontrol. Pengambilan data menggunakan instrumen tes berupa pilihan ganda, analisis data menggunakan uji-t. Hasil penelitian ini diperoleh yaitu t_(hitung )= 8,60 > t_(tabel ) = 2,042 dengan ?=5% yang berarti Ho ditolak dan Ha diterima, artinya terdapat pengaruh model pembelajaran probing promting terhadap hasil belajar siswa pada matapelajaran instalasi sistem operasi opensource kelas X TKI di SMK Negeri 1 Sumenep. Rata-rata hasil akhir belajar siswa mengalami peningkatan yaitu pretest kelas eksperimen13,59 dan posttest kelas eksperimen 73,59. Pretest kelas kontrol 14,55 sehingga posttest kelas kontrol 67,06. Sedangkan untuk angket respon siswa terhadap model pembelajaran Probing promting memperoleh respon sangat baik dengan nilai tertinggi pada respon siswa sebesar 53%. Jadi dapat disimpulkan bahwa terdapat pengaruh yang signifikan pada instalasi sistem operasi open source siswa kelas X TKI di SMK Negeri 1 Sumenep antara siswa yang belajar dengan metode Probing promting dan siswa yang belajar dengan model ceramah."
Pengaruh Pembelajaran Menggunakan Media Vmware Workstation Terhadap Hasil Belajar Siswa Materi Pelajaran Instalasi  Sistem Operasi Smk Al-Hikam Bangkalan.,Penulis : Inda Mukfidah,"Dosen Pembimbing I : Medika Risnasari, S.ST., M.T","Dosen Pembimbing II :Muchamad Arif, S.Pd., M.Pd.","ABSTRAK
Pembelajaran instalasi sistem operasi mengajarkan tentang instalasi Windows dan Linux. Penggunaan komputer langsung (Physical Computer) dalam pembelajaran instalasi sistem operasi akan menimbulkan beberapa kerugian dan masalah yang menghambat kelancaran pembelajaran. Oleh karena itu, diperlukan media pembelajaran yang dapat menunjang pembelajaran instalasi sistem operasi. Penelitian ini bertujuan untuk mengetahui pengaruh media pembelajaran berbasis VMware Workstation terhadap hasil belajar siswa mata pelajaran instalasi sistem operasi kelas X TKJ di SMK AL-Hikam Bangkalan. Penelitian ini merupakan penelitian  kuantitatif dengan menggunakan desain penelitian quasi eksperimen yaitu Quasi Experimental Design dengan bentuk Nonequivalent Group Design.. Subjek penelitian adalah siswa kelas X TKJ SMK AL-Hikam Bangkalan yang berjumlah 60 siswa. Teknik pengumpulan data dilakukan dengan metode tes hasil belajar dan angket respon siswa. Hasil penelitian menunjukkan bahwa : (1) Ada Pengaruh Pembelajaran Menggunakan Media VMware Workstation terhadap hasil belajar siswa yaitu berdasarkan hasil pengujian hipotesis menggunakan uji signifikansi (uji t), diperoleh thitung sebesar 7,043 dan ttabel sebesar 2,048 pada taraf signifikasi ? = 0,05. Nilai thitung lebih besar dari nilai ttabel, maka H0 ditolak dan Ha diterima artinya ada pengaruh Pembelajaran Menggunakan Media VMware Workstation terhadap hasil belajar siswa yang signifikan.(2) Respon siswa terhadap media VMware Workstation memperoleh nilai rata-rata sebesar 80,9% artinya siswa memberikan respon positif terhadap media VMware Workstation dan media tersebut bermanfaat bagi siswa.

Kata Kunci : Media VMware Workstation, Hasil Belajar, Respon Siswa


"
PENGARUH MODEL PEMBELAJARAN COOPERATIVE LEARNING TIPE SNOWBALL THROWING TERHADAP HASIL BELAJAR SISTEM OPERASI SISWA KELAS X SMKN 1 KAMAL,Penulis : Siti Aisah,"Dosen Pembimbing I : Muchamad Arif, S.Pd., M.Pd.","Dosen Pembimbing II :Medika Risnasari, S.ST., M.T","Abstrak
Penelitian âPengaruh model pembelajaran cooperative learning tipe snowball throwing terhadap hasil belajar sistem operasi siswa kelas X SMKN 1 Kamalâ bertujuan untuk mengetahui pengaruh model pembelajaran kooperatif snowball throwing terhadap hasil belajar siswa ranah kognitif setelah pembelajaran yang diperoleh melalui hasil postest. Penelitian ini dilakukan di SMKN 1 Kamal dengan fokus pembelajaran materi manajemen input/output (I/O). Penelitian dilaksanakan pada bulan Mei 2017. Jenis penelitian ini adalah kuantitatif dengan metode eksperimen, menggunakan Quasi Experimental Design, dengan rancangan nonequivalet control group design dengan dua macam perlakuan yang berbeda di dua kelas. Sampel yang digunakan adalah sampel jenuh, yaitu Kelas X RPL1 dan X RPL2. Kelas X RPL1 sebagai kelas eksperimen, dan kelas X RPL2 sebagai kelas kontrol. Instrumen penelitian yang digunakan adalah instrumen tes hasil belajar siswa, lembar observasi dan angket respon. Hasil Penelitian menunjukkan bahwa nilai rata-rata pretest dan posttest kelas eksperimen yaitu 40,4 dan 73,5 dan hasil observasi aktivitas guru secara klasikal memperoleh rata-rata 84% dengan kategori sangat baik, hasil observasi aktivitas siswa secara klasikal memperoleh rata-rata 73% dengan kategori baik, hasil angket respon siswa secara klasikal berkategori sangat baik dengan nilai seluruh per item 71-100%. Hasil penelitian dari uji signifikansi diperoleh thitung = 6,337 >ttabel 2,042 menyatakan bahwa Ho ditolak dan Ha diterima. Dari analisis tersebut maka dapat disimpulkan bahwa âada pengaruh model pembelajaran cooperative learning tipe snowball throwing pada materi manajemen input/output (I/O) terhadap hasil belajar siswa kelas X RPL SMKN 1 Kamalâ.

Kata Kunci : Snowball Throwing, Manajemen I/O, Hasil Belajar.
"
EFEKTIVITAS MODEL PEMBELAJARAN PROJECT BASED LEARNING PADA MATA PELAJARAN PEMROGRAMAN DASAR DI SMKN 1 SUMENEP,Penulis : Zulfatun Najmah,"Dosen Pembimbing I : Puji Rahayu Ningsih, S.Pd., M.Pd","Dosen Pembimbing II :Sigit Dwi Saputro, S.Pd., M.Pd","Najmah, Zulfatun. 2017. Efektivitas Model Pembelajaran Project Based Learning pada Mata Pelajaran Pemrograman Dasar. Skripsi, Program Studi Pendidikan Informatika, Fakultas Ilmu Pendidikan, Universitas Trunojoyo Madura. Pembimbing I Puji Rahayu Ningsih, S.Pd., M.Pd. Pembimbing II Sigit Dwi Saputro, S.Pd., M.Pd.

Kata Kunci : Efektivitas, Project Based Learning, Pemrograman Dasar
Pembelajaran pemrograman dasar menekankan pada pemberian pemahaman dan penerapan latihan secara langsung, agar siswa menjadi aktif dan respon siswa baik. Pembelajaran pemrograman dasar yang dilakukan di SMKN 1 Sumenep memberikan penjelasan dan berpusat pada guru, sehingga siswa kurang aktif dalam pembelajaran dan mengakibatkan respon siswa terhadap pembelajaran rendah. 
Penelitian ini memiliki tujuan untuk mengetahui efektivitas model pembelajaran project based learning pada mata pelajaran pemrograman dasar. Indikator suatu pembelajaran dapat dikatakan efektif apabila tiga dari lima indikator sudah terpenuhi, yaitu (1) aktivitas guru minimal baik; (2) aktivitas siswa selama pembelajaran minimal baik; (3) hasil belajar siswa tuntas yaitu minimal KKM; (4) rata-rata hasil belajar kelompok eksperimen lebih tinggi daripada kelompok kontrol; (5) respon siswa terhadap pembelajaran minimal baik. 
Penelitian ini merupakan penelitian True Experimental dengan menggunakan Pretest-Posttest Control Group Design. Pengambilan sampel menggunakan teknik Probability Sampling dengan jenis Simple Random Sampling. Penelitian ini menggunakan tes awal (pretest) dan tes akhir (posttest) untuk mengetahui kemampuan awal dan akhir. Kelas yang digunakan pada penelitian ini yaitu 2 kelas yang berbeda.
Berdasarkan hasil penelitian, diperoleh: (1) keterlaksanaan pembelajaran guru selama 3 pertemuan sebesar 83,33% dengan katagori baik sekali, (2) aktivitas siswa selama 3 pertemuan memperoleh rata-rata sebesar 79,19% dengan katagori aktif, (3) hasil belajar siswa secara klasikal menunjukkan ketuntasan hasil belajar sebesar 82 %, (4) rata-rata hasil belajar kelompok eksperimen sebesar 80,59 dan kelompok kontrol sebesar 76,67, (5) respon siswa memperoleh rata-rata sebesar 73,40% dengan katagori baik. Peningkatan hasil belajar siswa dari pretest ke posttest yang dilihat dari nilai gain ternormalisasi sebesar 0,571 yang termasuk kategori sedang. Kelima indikator tersebut sudah terlaksana dengan baik. Pada uji-t diperoleh hasil thitung > ttabel yaitu 2,158 > 1,693 dengan taraf signifikansi ? = 0,05. Demikian dapat disimpulkan bahwa kelima indikator terlaksana dengan baik sehingga dikatakan model pembelajaran Project Based Learning âefektifâ pada mata pelajaran pemrograman dasar di SMKN 1 Sumenep."
"Pengaruh Media Aplikasi VirtualBox Terhadap
Hasil Belajar Kognitif Siswa Pada Materi Proxy Server Kelas XI TKJ SMK ALHIKAM.
",Penulis : NURLAILY FITRIYA RAHMAWATI,"Dosen Pembimbing I : ARIESTA KARTIKA SARI S.Si., M.Pd","Dosen Pembimbing II :Muchamad Arif. S.Pd., M.Pd","Penelitian ini merupakan penelitian deskriptif kuantitatif dengan
menggunakan metode Quasi experimental design. Penelitian ini
dilaksanakan di kelas XI TKJ SMK Al-Hikam Burneh yang berjumlah
30 siswa. Pengambilan sampel sampel jenuh. Penelitian ini bertujuan
untuk mengetahui pengaruh media aplikasi VirtualBox terhadap hasil
belajar kognitif siswa pada maeteri proxy server kelas XI TKJ SMK
Al-Hikam Burneh. Teknik pengumpulan data dilakukan dengan
metode tes kognitif. Hasil penelitian menunjukkan hasil validasi, 1)
persentase rata-rata hasil validasi tes hasil belajar yaitu 76%, dan
persentase rata-rata hasil validasi RPP yaitu 76% sedangkan untuk
validasi angket respon siswa yaitu 92% dan validasi ahli bahasa yaitu
73%  .Sehingga dapat disimpulkan perangkat pembelajaran sangat
layak digunakan, 2) Ada pengaruh pembelajaran terhadap hasil belajar
proxy server siswa yaitu berdasarkan hasil penghitungan uji t, maka
diperoleh nilai t
hitung 
sebesar 2,388. Dengan t
tabel 
= t
(?/2 ,n-2) = 
2,048.
Dengan nilai t
hitung
 dan t
tabel 
diperoleh t
hitung
 > t
tabel
, ini berarti H
0

ditolak dan Ha diterima. Menunjukkan pembelajaran dengan
menggunakan media aplikasi VirtualBox pada materi proxy server
memberikan pengaruh yang signifikan terhadap hasil belajar kognitif
siswa kelas XI TKJ SMK Al-Hikam Burneh. Tingkat ketuntasan siswa
di kelas eksperimen yaitu 50%, sedangkan dikelas kontrol yaitu 50%,
Dapat disimpulkan siswa di kelas eksperimen (Media Aplikasi
VirtualBox ) hasil belajarnya sama dengan kelas kontrol
(pembelajaran tanpa menggunakan Tutup Media Aplikasi VirtualBox)
pada Proxy Server. 
"
PENGARUH MODEL PEMBELAJARAN PROBLEM BASED LEARNING (PBL) TERHADAP HASIL BELAJAR SISWA PADA MATERI INSTALASI PROGRAM APLIKASI DI SMKN 1 KAMAL,Penulis : Puput Yunita Sari,"Dosen Pembimbing I : Wanda Ramansyah, S.Pd., M.Pd.","Dosen Pembimbing II :Puji Rahayu Ningsih, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mengetahui pengaruh model pembelajaran problem based learning (PBL) terhadap hasil belajar siswa pada materi instalasi program aplikasi di SMKN 1 Kamal.
 
Penelitian ini merupakan penelitian Quasi Eksperimen Nonequivaln Control Group. Subyek penelitian ini adalah siswa kelas X SMKN 1 Kamal sebanyak 60 siswa, dengan dibagi menjadi dua kelompok yaitu kelas eksperimen sebanyak 30 siswa dan kelompok kontrol 30 siswa. Instrumen yang digunakan adalah soal tes hasil belajar berupa pre-test, dan pos-test, lembar observasi guru, siswa dan respon siswa.
Hasil penelitian menunjukan : (1) Aktivitas belajar siswa menggunakan model problem based learning memperoleh skor rata-rata 78,25 yang berkategori baik. (2) Aktivitas keterlaksanaan  memiliki skor rata-rata 83,63% yang memiliki prosentase yang berkategori sangat baik  (3) Hasil respon siswa memiliki presentase 97,99% yag berkategorikan sangat baik, sehingga dapat di simpulkan siswa memiliki respon sangat baik terhadap pembelajaran model problem based learning. (4) Hasil pengujian hipotesis penelitian menggunakan uji-t dengan hasil thitung  4,2957 dan ttabel 2,048, sehingga terdapat pengaruh baik pada pembelajaran model problem based learning terhadap hasil belajar siswa pada materi instalasi program aplikasi. 
"
"PROSES BERPIKIR KREATIF SISWA PADA MATERI
PERKEMBANGAN SISTEM OPERASI DITINJAU DARI
KEMAMPUAN AWAL SISWA",Penulis : Mawlana Akbar,"Dosen Pembimbing I : Ariesta Kartika Sari, S.Si., M.Pd.","Dosen Pembimbing II :Muchamad Arif, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mengetahui Proses Berpikir Kreatif Siswa pada Materi Perkembangan Sistem Operasi Ditinjau dari Kemampuan Awal Siswa.Penelitian ini menggunakan pendekatan kualitatif deskriptif. Langkah pertama dalam melakukan penelitian ini adalah melakukan tes kemampuan awal, selanjutnya menentukan subjek penelitian dengan melakukan pertimbangan bersama guru produktif kelas X TKJ mengenai nilai hasil tes, pengelompokkan kemampuan awal dan pemilihan subyek dari masing-masing kelompok rendah, sedang dan tinggi. Setelah itu, dilakukan tes berpikir kreatif dengan materi perkembangan sistem operasi pada perwakilan subyek dari masing-masing kelompok kemampuan awal yang telah ditentukan.Penelitian menemukan bahwa : setiap siswa dapat melakukan proses berpikir kreatif yang berbeda-beda. Selain itu dalam pembelajaran peserta didik mempunyai kemampuan awal yang berbeda-beda pula. Sehingga dalam memahami pembelajaran, kemampuan awal siswa berperan penting dalam proses berpikir kreatif siswa. (1) Siswa dengan kemampuan awal rendah memiliki karakteristik berpikir kreatif tingkat 1 yaitu Hampir Tidak Kreatif, dikarenakan subjek kemampuan awal rendah tersebut mampu menunjukkan kefasihan tanpa hal baru dalam menyelesaikan masalah. (2) Siswa dengan kemampuan awal sedang memiliki karakteristik berpikir kreatif tingkat 2 yaitu Cukup Kreatif, dikarenakan subjek kemampuan awal sedang tersebut mampu menunjukkan kebaruan dalam menyelesaikan masalah. Begitu pula dengan (3) Siswa dengan kemampuan awal tinggi memiliki karakteristik berpikir kreatif tingkat 2 yaitu Cukup Kreatif, dikarenakan subjek kemampuan awal tinggi tersebut mampu menunjukkan kebaruan dalam menyelesaikan masalah.

Kata-kata Kunci : Proses Berpikir Kreatif, Kemampuan Awal, Perkembangan Sistem Operasi"
PENGARUH METODE PROBLEM SOLVING MENGGUNAKAN MEDIA PEMBELAJARAN CBI (COMPUTER BASED INSTRUCTION) TERHADAP HASIL BELAJAR DESAIN GRAFIS DI SMK AGUNG MULIA,Penulis : mohamad zamzuri,"Dosen Pembimbing I : Wanda Ramansyah, S.Pd., M.Pd.","Dosen Pembimbing II :Sigit Dwi Saputro, S.Pd., M.Pd.","Dalam proses pembelajaran desain grafis, siswa kesulitan untuk dapat memecahkan suatu permasalahan dalam bentuk tugas soal maupun dalam bentuk praktek yang diberikan oleh guru Penelitian ini bertujuan untuk mengetahui pengaruh metode problem solving menggunakan media pembelajaran CBI(Computer Based Instruction)terhadap hasil belajar desain grafis. Penelitian yang dilaksanakan pada bulan Juni 2017 ini menggunakan metode quasi eksperimental desaing dengan desain pretest dan posttest. Pengambilan data sampel dilakukan mengggunakan teknik sample jenuh. Sampel penelitian ini berjumlah 20 siswa untuk kelas eksperimen dan 19 siswa untuk kelas kontrol. Pengambilan data menggunakan instrumen tes berupa pilihan ganda, analisis data menggunakan uji-t test.  Pada hasil awal (pretest) diperoleh perbandingan thitung =  -0,0619 < ttabel= 2,021, sehingga dapat disimpulakan bahwa Ho diterima, artinya tidak terdapat rerata perbedaan hasil belajar desain grafis antara pada kelas eksperimen dan kelas kontrol, sedangkan hasil akhir (posttest) diperoleh perbandingan thitung=  3,93 > ttabel= 2,021 , sehingga dapat disimpulakan bahwa Ho ditolak, artinya terdapat perbedaan rerata hasil belajar desain grafis antara pembelajaran antara kelas eksperimen dan kelas kontrol. Rata-rata hasil akhir belajar siswa mengalami peningkatan yaitu pretest kelas eksperimen 56,6% dan posttest kelas eksperimen 80,3%, sedangkam pretest kelas kontrol yaitu 56,7% dan posttest kelas kontrol yaitu 68,7%. Untuk respon siswa terhadap penggunaan metode problem solvingdiperoleh hasil rata-rata yaitu 80,2%, dengan kesimpulan angket respon siswa memperoleh hasil baik. 

Berdasarkan hasil penilitian maka dapat disimpulkan bahwa penggunaan metode problem solving dengan menggunakan media CBI (Computer Based Instruction)dapat mempengaruhi hasil belajar siswa pada pelajaran desain grafis. Disarankan kepada pihak sekolah hendaknya memberikan metode pembelajaran problem solving dengan menggunakan media CBI (Computer Based Instruction)pada mata pelajaran desain grafis maupun mata pelajaran lainnya karena metode ini terbukti dapat meningkatkan hasil belajar siswa.

Kata-kata Kunci : metode problem solving menggunakan media pembelajaran CBI, hasil belajar siswa, desain grafis."
"PENERAPAN SISTEM INFORMASI MANAJEMEN BERKAS BERBASIS WEB MENGGUNAKAN OWNCLOUD DI SMK NEGERI 1 KAMAL
",Penulis : Bagus Ario Wardiansyah,"Dosen Pembimbing I : Dr. Arif Muntasa, S.Si., M.T.","Dosen Pembimbing II :Medika Risnasari, S.ST., M.T.","Kegiatan belajar mengajar dilingkungan sekolah juga didukung oleh kelengkapan serta kesiapan teknologi informasi salah satunya adalah teknologi manejemen penyimpanan yang terintegrasi dalam suatu sistem manajemen berupa berkas digital. Tujuan dalam penerapan sistem ini adalah untuk merancang serta mengaplikasikan sistem informasi manajemen berkas berbasis web menggunakan owncloudsi SMK Negeri 1 Kamal. 

Responden penelitian sebanyak 7 guru di lingkungan jurusan TIK. Teknik pengumpulan data menggunakan metode angket berbentuk jawaban skala Likert dengan rentan skor 1-4. Validitas instrumen dan produk diukur dengan diuji oleh ahli media dan materi untuk mengetahui kelayakan dari sistem yang diterapkan. 

Penerapan sistem melalui 5 tahap yaitu : Perancangan sistem, analisis sistem, desain sistem, penerapan sistem dan perawatan sistem. Hasil validasi media penerapan sistem informasi manajemen berkas berbasis web menggunakan owncloud di SMK Negeri 1 Kamal sebesar 3,9 (sangat baik), sedangkan validasi ahli materi sebesar 3,2 (baik). Dalam penelitian ini juga diamati aspek-aspek efektifitas dalam sistem meliputi (1) Aspek kesesuaian fungsi (Correctness), (2) Aspek efisiensi (Efficiency), dan (3) Aspek kemudahan penggunaan (Usability). Dimana hasil penelitian menunjukkan bahwa sistem memiliki rerata aspek correctness sebesar 3,4 (sangat baik), rerata aspek efficiency sebesar 3,38 (baik) dan pada rerata aspek usabilitysebesar 3,48 (sangat baik).
"
PENGARUH BIMBINGAN KARIER TERHADAP KONSEP DIRI KE ARAH KARIER SISWA SMK NEGERI 1 KAMAL TAHUN AJARAN 2016/2017,Penulis : Hildan Firdaus,"Dosen Pembimbing I : Ariesta Kartika Sari, S.Si., M.Pd. ","Dosen Pembimbing II :Puji Rahayu Ningsih, S.Pd., M.Pd","Siswa dengan pengetahuan konsep diri yang rendah mengakibatkan siswa bingung dalam merencanakan karier di masa depan, karena tidak tahu potensi dalam dirinya. Oleh sebab itu dibutuhkan bimbingan karier dari sekolah agar siswa dapat merencanakan masa depan dengan optimal. Maka diharapkan dengan bantuan bimbingan karier dapat meningkatkan pemahaman siswa tentang karier. Dalam penelitian ini ingin mengetahui bagaimana pengaruh bimbingan karier terhadap konsep diri siswa ke arah karier siswa SMK Negeri 1 Kamal. Penelitian ini merupakan penelitian kuantitatif dengan menggunakan Pre-Experimental Designs dengan bentuk One-Group Pretest-Posttest Design. Penelitian dilaksanakan di kelas XI RPL 1 SMK Negeri 1 Kamal yang berjumlah 33 siswa. Pengambilan sampel dilakukan dengan mengambil seluruh jumlah siswa sehingga penelitian ini merupakan penelitian populasi. Teknik pengumpulan data dilakukan dengan metode tes skala psikologi dan kuesioner. Hasil penelitian menunjukan hasil, 1) presentase rata-rata validasi tes psikologi konsep diri yaitu 75% dan respon siswa yaitu 74%, artinya kedua pengumpul data tersebut layak digunakan. 2) ada pengaruh bimbingan karier terhadap konsep diri ke arah karier siswa yaitu berdasarkan hasil pengujian teknik nonparamateris menggunakan wilcoxon signed rank test sampel besar, diperoleh probabilitas dua sisi sebesar 0,0032 dengan tingkat signifikasi a = 0.05. Nilai probabilitas dua sisi berada dibawah tingkat signifikasi, maka H1 dapat diterima dan menolak H0, artinya ada pengaruh bimbingan karier terhadap konsep diri ke arah karier siswa yang signifikan antara sebelum dan sesudah diberi bimbingan karier, hasil uji gain menunjukkan juga ada pengaruh dengan kategori rendah sebanyak 36%,  3) respon siswa terhadap bimbingan karier mendapat respon bahwa bimbingan karier bermanfaat bagi siswa."
Pengembangan Media Pembelajaran berbasis web menggunakan program Adobe Dreamweaver CS3 pada mata pelajaran BTA(Baca Tulis Al-Quran) untuk siswa kelas X SMK Agung Mulia Socah Bangkalan,Penulis : Shony Attaufiqin,Dosen Pembimbing I : W,"Dosen Pembimbing II :Wanda Ramansyah, S.Pd., M.Pd.","ABSTRAK

Shony, Attaufiqin 2017. Pengembangan Media Pembelajaran berbasis web menggunakan program Adobe Dreamweaver CS3 pada mata pelajaran BTA(Baca Tulis Al-Quran) untuk siswa kelas X SMK Agung Mulia Socah Bangkalan. Skripsi, Pendidikan Informatika, Universitas Trunojoyo Madura. 

Pembimbing : (I) Wahyudi Agustiono, S.Kom., M.Sc., dan (II) Wanda Ramansyah, S.Pd., M.Pd.

Kata-kata Kunci : Media Pembelajaran, Adobe Dreamweaver cs3, pembuatan media web, memahami BTA(Baca Tulis Al-Quran).
 
Pada dasarnya pengajaran dengan metode ceramah itu sangat biasa dan cepat bosan bagi siswa. Guru dituntut untuk dapat kreatif dalam megajar. Maka dari itu diadakannya pengembangan media pembelajaran.

Pengembangan ini bertujuan untuk mengembangkan media pembelajaran tentang BTA(Baca Tulis Al-Quran) yang berupa media berbasis web untuk membantu siswa dalam memahami materi BTA(Baca Tulis Al-Quran).

Pengembangan ini menggunakan model pengembangan Four-D model (analisis, desain, pengembangan  dan  penyebaran). Dalam model ini dilakukan 4 tahap uji coba untuk memperoleh nilai efektifitas,efisiensi, dan daya tarik produk. Pertama uji coba ahli isi/materi, kedua uji coba ahli media, ketiga uji coba perorangan, keempat uji coba kelompok kecil dan kelima uji coba kelompok besar.

Hasil penelitian menunjukkan bahwa nilai yang diperoleh media berbasis web dari : 1) Ahli materi mendapatkan nilai 82% dengan kualifikasi âTinggiâ, 2) Ahli Rancangan Media diperoleh nilai 82,9% dengan kualifikasi âTinggiâ, 3) uji coba siswa perorangan diperoleh nilai 92% dengan kualifikasi âsangat tinggiâ, 4) Uji coba siswa kelompok kecil diperoleh nilai 92% dengan kualifikasi âsangat tinggiâ, 5) uji coba siswa Kelompok besar diperoleh 88% dengan kualifikasi âtinggiâ. Dengan demikian media web yang dikembangkan ini memiliki nilai efektifitas, efisiensi, dan daya tarik yang tinggi sebagai media pembelajaran berbasis web mata pelajaran BTA(Baca Tulis Al-Quran).

"
