Judul,penulis,dosen_pembimbing_1,dosen_pembimbing_2,abstrak
ANALISIS KESIAPAN PEMERINTAH DAERAH DALAM MENERAPKAN STANDAR AKUNTANSI PEMERINTAHAN BERBASIS AKRUAL (STUDI KASUS PADA PEMERINTAH KABUPATEN BANGKALAN),Penulis : AINUR ROSI,"Dosen Pembimbing I : MOHAMMAD DJASULI, SE.,M.Si.,QIA.,CA","Dosen Pembimbing II :GITA ARASY HARWIDA, SE.,M.Tax.,Ak.,QIA.,CA","Tujuan dari penelitian ini adalah untuk mengetahui kesiapan Pemerintah Kabupaten Bangkalan dalam menerapkan SAP berbasis akrual sesuai PP No. 71 Tahun 2010. Informan dalam penelitian ini adalah Pejabat Pengelola Keuangan Daerah (PPKD) dan Pejabat Penatausahaan Keuangan Satuan Kerja Perangkat Daerah (PPK SKPD) di Kabupaten Bangkalan. Data dikumpulkan dari wawancara langsung dengan para informan dan dianalisa dengan fenomenologi. Hasil dari penelitian menunjukkan bahwa Pemerintah Kabupaten Bangkalan belum siap dalam menerapkan Standar Akuntansi Pemerintahan Berbasis Akrual (PP No. 71 Tahun 2010) karena masih perlu pembenahan terhadap sumber daya manusia, kebijakan, dan infrastruktur untuk mendukung penerapan SAP Berbasis Akrual. Berkaitan dengan kompetensi yang dimiliki oleh PPK SKPD menunjukkan bahwa kompetensi yang dimiliki PPK SKPD di Kabupaten Bangkalan tergolong masih rendah. Hal itu dibuktikan dengan latar belakang pendidikan PPK yang sebagian besar bukan berlatar belakang pendidikan akuntansi, sehingga sebagian besar PPK tidak paham tentang teori basis akuntansi akrual."
Evaluasi Sistem Pengendalian Intern Pada Prosedur Pemberian Kredit (Studi Kasus Pada PT BPR Artha Hudha Abadi Pati),Penulis : Nanik Apriliya Darwati,"Dosen Pembimbing I : Dr. Prasetyono., SE., M.Si., Ak","Dosen Pembimbing II :Citra Nurhayati., SE., MA.AK., CA","Bank merupakan salah satu unsur pembangunan ekonomi serta lembaga yang berpartisipasi dalam kelancaran kegiatan ekonomi dan bidang moneter. Bank dalam kegiatan sebagai kolektor dan distributor dana dari masyarakat. Dana bantuan dalam bentuk pinjaman dari luar perbankan atau lembaga keuangan yang disebut kredit. Pinjaman bank yang diperoleh bukan hanya untuk orang-orang yang membutuhkan, tetapi harus melalui prosedur yang ditetapkan dan Bank memiliki beberapa persyaratan yang harus dipenuhi oleh debitur sebagai bahan analisis bagi bank untuk mengambil keputusaan anggota atau menolak pemberian kredit. Kredit adalah titik pusat dari kegiatan perbankan. Oleh karena itu, banyak bank masih akan hidup jika layanan kredit yang disediakan dapat dikelola dengan baik, dan sebaliknya telah membuktikan bahwa banyak bank akan dihancurkan oleh manajemen kredit tidak dilakukan dengan benar. 
Manajemen kredit di bank terkait erat dengan pengendalian internal diterapkan. Dalam penyaluran kredit perbankan harus benar-benar memperhitungkan risiko yang mungkin timbul dalam peringkat kredit yang dilakukan, sehingga kredit yang diberikan oleh bank secara efektif Penelitian ini bertujuan untuk mengevalusai ditetapkan oleh PT. BPR Artha Huda Abadi.. Berdasarkan hasil penelitian tentang Tata Cara Evaluasi dan Pengendalian Intern di Pinjaman PT. BPR Artha Huda Abadi dianggap sangat baik, hal ini dapat dilihat dari kontrol yang dilakukan oleh PT. BPR Artha Huda Abadi mulai dari prosedur pengendalian aplikasi, prosedur pengendalian dan pinjaman analisis persetujuan, prosedur pengendalian penyaluran kredit, prosedur pengendalian untuk memantau kredit, prosedur pengendalian penyelamatan kredit 
Keywords: prosedur, pengendalian internal
"
FAKTOR-FAKTOR YANG MEMPENGARUHI PEMILIHAN KARIR MENJADI AKUNTAN PUBLIK BAGI MAHASISWA AKUNTANSI (Studi Pada Universitas Trunojoyo Madura),Penulis : MUHAMMAD MUKHLIS,"Dosen Pembimbing I : Dr. PRASETYONO, SE.,M.Si.,Ak","Dosen Pembimbing II :ANIS WULANDARI, SE.,M.SA.,Ak.,CA","Tujuan penelitian ini adalah untuk mengetahui faktor-faktor yang mempengaruhi pemilihan karir menjadi akuntan publik bagi mahasiswa akuntansi Universitas Trunojoyo Madura. Penelitian ini merupakan metode kuantitatif. Populasi yang digunakan dalam penelitian ini adalah seluruh mahasiswa akuntansi Fakultas Ekonomi Universitas Trunojoyo Madura. Teknik pengambilan sampel peneltian ini metode purposive sampling. Analisis penelitian dilakukan dengan regresi linier berganda dengan bantuan program SPSS versi 17.0. Berdasarkan hasil pengujian menunjukkan bahwa secara simultan faktor intrinsik, penghasilan, pertimbangan pasar kerja, persepsi mahasiswa mengenai profesi akuntan publik, dan lingkungan kerja berpengaruh signifikan terhadap pemilihan karir menjadi akuntan publik. Secara parsial faktor intrinsik, penghasilan, dan lingkungan kerja berpengaruh signifikan terhadap pemilihan karir menjadi akutan publik, sedangkan pertimbangan pasar kerja dan persepsi mahasiswa mengenai profesi akuntan publik  tidak berpengaruh signifikan terhadap pemilihan karir menjadi akuntan publik.
"
ANALISIS KELANGSUNGAN USAHA (GOING CONCERN) USAHA KECIL MENENGAH SEBELUM DAN SESUDAH MENERIMA PEMBIAYAAN MUDHARABAH DARI KOPERASI JASA KEUANGAN SYARIAH AS SAKINAH KECAMATAN KAMAL KABUPATEN BANGKALAN,Penulis : SAMHAJI,"Dosen Pembimbing I : Yudhanta Sambharakreshna, SE.,M.SI.,Ak.CA","Dosen Pembimbing II :Fariyana Kusumawati, SE.,M.Si.","Pertumbuhan Usaha Kecil Menengah di Indonesia mengalami gejolak dalam pertumbuhannya di awali dari krisis yang terjadi pada tahun 1998 usaha besar yang tidak mampu menghadapi goncangan tersebut banyak yang gulung tikar di karenakan haraga yang semakin melambung tinggi namun ketika usaha usaha besar tersebut tutup di sisilain Usaha Kecil Menengah mampu bertahan dari gejolak tersebut di tahun 2006 saja jumlahnya 48 juta Usaha Kecil Menengah yang tumbuh dan jumlahnyapun mengalami peningkatan dari tahun ketahun dan pada tahun 2012 meningkat sebesar 2,47% dan memberikan dampak besar terhadap peningkatan PDB(pendapatan Domestik Bruto) sebesar 29,09% dari total Pendapatan Domestik Bruto yang dimiliki Indonesia. Pembiayaan yang dikeluarkan oleh Koperasi Jasa Keuangan Syariah dan Lembaga Keuangan Syariah lainnya ini menjadi pemeran penting dalam membangun dan menjaga kelangsungan usaha (Going Concern) yang dimiliki karena Usaha Kecil Menengah yang sedang membutuhkan tambahan modal untuk mengebangkan usahanya mampu mengaksesnya dan tidak terlalau rumit di bandingkan dengan Lembaga Keuangan"
Dampak Kebijakan Retribusi Pasar Terhadap Pendapatan Asli Daerah (Implementasi Peraturan Daerah Kabupaten Pamekasan Nomor 13 Tahun 2012 tentang Retribusi Jasa Umum di Pasar Keppo Kabupaten Pamekasan),Penulis : M. RIZQY ALVIANDIKA PUTRA,"Dosen Pembimbing I : Junaidi, SE., MSi., Ak., CA","Dosen Pembimbing II :Rindah Febriana Suryawati, SE., MAcc., Ak","Penelitian ini bertujuan untuk mengetahui dampak penerimaan retribusi pasar dan kontribusi retribusi pasar terhadap Pendapatan Asli Daerah sebelum dan sesudah diimplementasikan Peraturan Daerah Kabupaten Pamekasan Nomor 13 Tahun 2012 tentang Retribusi Jasa Umum pada Pasar Keppo Kabupaten Pamekasan tahun 2010-2012. Penelitian ini dilakukan dengan menggunakan mixed methods dengan menggunakan explanatory design atau analisis kuantitatif yang didukung dengan analisis kualitatif. Data yang digunakan dalam penelitian ini adalah target dan realisasi penerimaan retribusi pasar di Pasar Keppo Kabupaten Pamekasan dari tahun 2010-2012. Populasi yang digunakan adalah penerimaan retribusi pasar di Pasar Keppo. Penelitian ini mengambil sampel penerimaan retribusi di Pasar Keppo dari tahun 2010-2012. Teknik penarikan sampel menggunakan teknik sensus mengingat jumlah pengambilan sampel dengan jumlah populasi adalah sama yaitu berupa penerimaan retribusi pasar tahun 2010-2012 di Pasar Keppo Kabupaten Pamekasan. Teknik analisis menggunakan uji kuantitatitif dengan metode Mann Whitney U test dan uji kualitatif deskriptif. Berdasarkan hasil analisis data kuantitatif  diperoleh kesimpulan tidak terdapat perbedaan penerimaan retribusi pasar antara sebelum dan sesudah diimplementasikan Peraturan Daerah Kabupaten Pamekasan Nomor 13 Tahun 2012 tentang Retribusi Jasa Umum dari tahun 2010-2012 di Pasar Keppo Kabupaten Pamekasan. Berdasarkan hasil analisis data kualitatitf diperoleh bahwa terdapat perbedaan penerimaan retribusi pasar antara sebelum dan sesudah diimplementasikan Peraturan Daerah Kabupaten Pamekasan Nomor 13 Tahun 2012 tentang Retribusi Jasa Umum di Pasar Keppo Kabupaten Pamekasan.

Kata Kunci: Retribusi Pasar 
"
MENDETEKSI KECURANGAN LAPORAN KEUANGAN DI ORGANISASI SEKTOR PUBLIK,Penulis : ACH MAULIDI,"Dosen Pembimbing I : Dr. Tarjo, S.E., M.Si., CFE","Dosen Pembimbing II : Anita Carolina, S.E., MBusAdv., Ak. QIA.,CA ","Penelitian ini bertujuan untuk menguji dan menganalisis pengaruh prosedur audit, metode atau strategi audit, kompetensi auditor, independensi auditor, objektifitas auditor, dan skeptisme profesional terhadap keberhasilan mendeteksi kecurangan laporan keuangan di organisasi sektor publik. Penelitian ini dilakukan di Badan Pemeriksa Keuangan Republik Indonesia Perwakilan Propinsi Jawa Timur. Jumlah sampel dalam penelitian ini adalah 78 responden. Teknik pengambilan sampel yang digunakan dalam penelitian ini adalah simpel random sampling. Hasil penelitian ini menunjukkan bahwa prosedur audit, metode atau strategi audit, independensi auditor, dan skeptisme profesional berpengaruh signifikan terhadap keberhasilan mendeteksi kecurangan laporan keuangan di organisasi sektor publik. Namun, kompetensi auditor dan objektifitas auditor tidak berpengaruh signifikan terhadap keberhasilan mendeteksi kecurangan laporan keuangan di organisasi sektor publik.
Kata kunci: prosedur audit, metode atau strategi audit, kompetensi auditor, independensi auditor, objektifitas auditor, skeptisme profesional, keberhasilan, mendeteksi,kecurangan laporan keuangan, organisasi sektor publik.
"
Analisis Perbandingan Sistem Pembiayaan UMKM Antara Lembaga Keuangan Mikro Syariah (BMT) dengan Lembaga Keuangan Konvensional (Koperasi),Penulis : Fariqul Isbahah,"Dosen Pembimbing I : Prof.Dr.H.M.Nizarul Alim, S.E., M.Si., Ak ","Dosen Pembimbing II :Robiatul Auliyah, S.E., MSA","Fariqul Isbahah, Analisis Perbandingan Sistem Pembiayaan UMKM Antara Lembaga Keuangan Mikro Syariah (BMT) dengan Lembaga Keuangan Konvensional (Koperasi). Dibawah bimbingan Prof.Dr.H.M.Nizarul Alim, S.E., M.Si., Ak dan Robiatul Auliyah, S.E., MSA.
Tujuan dari penelitian ini adalah untuk mengetahui dan menganalisa perbandingan pembiayaan/kredit UMKM yang terdapat pada Lembaga Keuangan Mikro yang menganut sistem berbeda,yaitu syariah dan konvensional. Penelitian ini menggunakan jenis penelitian kualitatif dengan pendekatan Multiple Case Study, peneliti menggunakan pendekatan ini karena penelitian ini meneliti dua atau lebih subjek, latar atau tempat penyimpanan data. Teknik analisis data dalam penelitian dengan pendekatan multi kasus menggunakan dua tahap, yaitu analisis data masing-masing objek dan analisis data perbandingan. Informan kunci pada penelitian ini adalah ketua dari masing-masing objek penelitian, karyawan bagian pembiayaan/kredit serta nasabah yang mengambil pembiayaan/kredit  dengan nilai nominal paling tinngi di masing-masing lembaga keuangan mikro tersebut. Tahapan-tahapan yang dilakukan oleh peneliti sehingga memperoleh temuan pada masing-masing objek yaitu survey pendahuluan, survei kepustakaan, dan pengumpulan data lapangan.
Hasil penelitian menunjukkan bahwa aplikasi dalam pemberian pembiayaan di Lembaga Keuangan Mikro Syariah tidak jauh berbeda dengan aplikasi pemberian kredit yang terdapat di Lembaga Keuangan Konvensional. Perbedaan yang sangat mencolok diantara kedua Lembaga Keuangan tersebut adalah pemberian kredit UMKM yang terjadi pada Lembaga Keuangan Mikro Konvensional (Koperasi) diberikan dengan cara menyerahkan uang saja dan disertai dengan adanya perjanjian sistem bunga/riba pada saat pengembalian pinjaman. Sedangkan pada Lembaga Keuangan Mikro Syariah (BMT) berorientasi pada pinjaman untuk kegiatan membeli barang dan usaha, sehingga bukan sistem bunga yang digunakan tetapi marjin dan bagi hasil.


Kata kunci: Pembiayaan, Kredit, UMKM, Lembaga Keuangan Mikro 
"
"PENGARUH PARTISIPASI PENYUSUNAN ANGGARAN TERHADAP KINERJA APARATUR PEMERINTAH DAERAH: KOMITMEN ORGANISASI, PERILAKU INDIVIDU, BUDAYA ORGANISASI, DAN GAYA KEPEMIMPINAN SEBAGAI VARIABEL MODERATING 
(St",Penulis : IGA TRI JAYANTI,"Dosen Pembimbing I : PROF., DR. H. M. NIZARUL ALIM, S.E.,M.Si.,Ak  ","Dosen Pembimbing II :RINDAH FEBRIANA SURYAWATI, S.E.,MAcc.,Ak.,CA","Penelitian ini bertujuan untuk menganalisis pengaruh partisipasi penyusunan anggaran terhadap kinerja Aparatur Pemerintah Daerah dengan komitmen organisasi, perilaku individu, budaya organisasi, dan gaya kepemimpinan sebagai variabel moderating. Metode pengambilan sampel yang digunakan adalah purposive sampling. Dan diperoleh sampel sebanyak 58 responden dari 3 SKPD yaitu BAPPEDA, DISPENDALOKA, dan DPRD Kabupaten Sampang.	
Hasil pengujian ini membuktikan bahwa partisipasi anggaran tidak berpengaruh signifikan terhadap kinerja Aparatur Pemerintah Daerah, komitmen organisasi tidak dapat memoderisasi partisipasi anggaran terhadap kinerja Aparatur Pemerintah Daerah, perilaku individu dapat memoderisasi partisipasi anggaran terhadap kinerja Aparatur Pemerintah Daerah, budaya organisasi dapat memoderisasi partisipasi anggaran terhadap kinerja Aparatur Pemerintah Daerah, dan gaya kepemimpinan tidak dapat memoderisasi partisipasi anggaran terhadap kinerja Aparatur Pemerintah Daerah.


Kata kunci: Partisipasi penyusunan anggaran, kinerja aparatur pemerintah daerah, komitmen organisasi, perilaku individu, budaya organisasi, dan gaya kepemimpinan.
"
DISKURSUS DASAR PENGENAAN PAJAK PELAKU USAHA ONLINE,Penulis : AYU LESTARI,"Dosen Pembimbing I : Nurul Herawati,SE.,Msi.,Ak","Dosen Pembimbing II :Rahmat Zuhdi.,SE.,MSA.,Ak.,QIA","Penilitian ini dilakukan dengan tujuan mengkaji bagaimanakah bentuk wacana konsekuensi perpajakan yang diterapkan yaitu dasar pengenaan pajak bagi pelaku usaha online shop, mengingat banyaknya wacana yang beredar mengenai pengenaan pajak bagi usaha online sejak tahun 2010 hingga tahun 2013. Penelitian dilakukan dengan metode kualitatif pendekatan paradigma kritis dan Teknik analisis data menggunakan analisis teks dan studi pustaka.

	Dari hasil penelitian yang dilakukan diketahui bahwa bentuk wacana atas pengenaan pajak bagi pelaku usaha online masih belum ada UU yang bisa menjelaskan mengenai bagaimanakah perlakuan perpajakannya jika usaha online  berupa milik orang pribadi atau badan. Sedangkan jika usaha online berupa BUT, berdasarkan UU No. 36 tahun 2008 pasal 17 ayat (2a) dikenakan tarif sebesar 25%. Mekanisme mengenai bagaimanakah usaha online tersebut akan dikenakan pajak mengacu pada adaptasi prinsip dan sistem pajak e-trading di luar negeri seperti di negara Hong Kong, karena di Hong Kong sendiri sudah menerapkan pengenaan pajak bagi pelaku usaha online sejak tahun 2000 yang kemudian menjadi acuan bagi negara US dan UK."
"PENTINGNYA AUDIT INTERNAL DALAM MENDETEKSI KECURANGAN (FRAUD)
(Survei Pada Auditor BPKP Perwakilan Provinsi Jawa Timur)",Penulis : Nur Azizah,"Dosen Pembimbing I : Dr. Tarjo, S.E., M.Si., Ak., CFE","Dosen Pembimbing II :Rahmat Zuhdi, SE., M.SA., Ak., CA., QIA","Penelitian ini bertujuan untuk menguji dan menganalisis pengaruh pentingnya audit internal yang diukur dengan faktor independensi, kompetensi dan program audit dalam mendeteksi kecurangan (fraud). Populasi dalam penelitian ini adalah seluruh auditor yang ada di BPKP Perwakilan Provinsi Jawa Timur. Teknik pengambilan sampel yang digunakan adalah purposive sampling dengan kriteria: auditor yang pernah mendeteksi kecurangan (fraud), auditor yang berpendidikan D3-S3, auditor yang memiliki pengalaman kerja minimal 0-5 tahun, auditor yang pernah melakukan pekerjaan audit, dan auditor yang memahami pengetahuan mengenai audit internal. Jumlah sampel yang diambil dalam penelitian ini sebanyak 118 sampel. Sampel yang digunakan dalam penelitian ini adalah auditor bidang Investigasi, auditor bidang Akuntan Negara (AN), auditor bidang Pengawasan Instansi Pemerintah Pusat dan auditor bidang Akuntabilitas Pemerintah Daerah (APD). 
Hasil penelitian ini membuktikan bahwa, independensi tidak berpengaruh signifikan terhadap deteksi kecurangan (fraud) dengan koefisien positif, kompetensi tidak berpengaruh signifikan terhadap deteksi kecurangan (fraud) dengan koefisien negatif, dan program audit berpengaruh signifikan terhadap deteksi kecurangan (fraud) dengan koefisien positif.
Kata Kunci : Audit Internal, Independensi, Kompetensi, Program Audit,  dan Deteksi Kecurangan (fraud)."
"PENGARUH KECERDASAN INTELEKTUAL, KECERDASAN   EMOSIONAL, DAN KECERDASAN SPIRITUAL TERHADAP KINERJA PENGELOLA ANGGARAN DAERAH : PROFESIONALISME DAN KOMPETENSI SEBAGAI VARIABEL MODERATING",Penulis : LIA RANTI SAGITA,"Dosen Pembimbing I : YUDHANTA SAMBHARAKRESHNA SE., M.SI. AK","Dosen Pembimbing II :FARIYANA KUSUMAWATI, SE., M. SI","Penelitian ini bertujuan untuk menguji dan menganalisis pengaruh kecerdasan intelektual (IQ), kecerdasan   emosional (EQ), kecerdasan spiritual (SQ) terhadap kinerja pengelola anggaran daerah, profesionalisme dan kompetensi sebagai variabel moderating. Sedangkan responden yang digunakan dalam penelitian ini adalah pengelola anggaran daerah di 62 SKPD di Kabupaten Bangkalan Madura.
Teknik pengambilan sampel dalam penelitian ini menggunakan purposive sampling. Sehingga diperoleh sampel sebanyak 108 yang memenuhi kriteria. Data yang digunakan dalam penelitian ini merupakan data primer, yang diperoleh dengan menyebarkan kuesioner. Pengujian hipotesis pertama sampai dengan hipotesis ketiga menggunakan analisis regresi linier berganda. Sedangkan, pengujian hipotesis keempat sampai dengan hipotesis kesembilan menggunakan Moderated Regression Analysis (MRA) dengan pendekatan uji residual. 
Hasil penelitian ini membuktikan bahwa kecerdasan intelektual (IQ), kecerdasan emosional (EQ), dan kecerdasan spiritual (SQ) berpengaruh signifikan terhadap kinerja pengelola anggaran daerah. Variabel profesionalisme tidak mampu memoderasi adanya pengaruh variabel IQ, EQ, dan SQ terhadap kinerja pengelola anggaran daerah. Sedangkan variabel kompetensi mampu memoderasi adanya pengaruh variabel IQ, EQ, dan SQ terhadap kinerja pengelola anggaran daerah.


Kata kunci:Kecerdasan Intelektual (IQ), Kecerdasan Emosional (EQ), Kecerdasan Spiritual (SQ), Profesionalisme, Kompetensi, dan Kinerja Pengelola Anggaran Daerah.
"
"MINDSET MAHASISWA AKUNTANSI DALAM MEMILIH KONSENTRASI DAN PENCAPAIAN PRESTASI BELAJAR DITINJAU DARI DIWAN IMAM SYAFIâI
(Studi pada Fakultas Ekonomi Universitas Trunojoyo Madura)
",Penulis : RISTA MAHARANI,"Dosen Pembimbing I : ROBIYATUL AULIYAH SE., MSA","Dosen Pembimbing II :RAHMAT ZUHDI SE.,MBA.,CA.,QIA","ABSTRAK
       Penelitian ini dibertujuan untuk mengetahui bagaimana mindset mahasiswa akuntansi  dalam memilih konsentrasi dan pencapaian  prestasi belajar ditinjau dari  6 syarat menuntut ilmu dalam Diwan Imam Syafiâi. Penelitian ini menggunakan metode kualitatif dengan pendekatan etnometodologi dan menggunakan 10 orang mahasiswa semester akhir yang telah menempuh skripsi pada program studi akuntansi Fakultas Ekonomi Universitas Trunojoyo Madura (UTM) sebagai nara sumber. Metode pengumpulan data yang digunakan adalah observasi, wawancara, dokumentasi. Penelitian ini juga menggunakan enam item dalam Diwan Imam Syafiâi sebagai kacamata pandang dalam pemilihan konsentrasi dan pencapaian prestasi belajar mahasiswa, yaitu Zaka in (Cerdas), Hirshin (Gemar/Semangat), Ishtibarin (Sabar), Bulghotin (Biaya), Irsyadi Ustadzin (Memiliki Guru), Thuluz Zamani (Waktunya Lama ).
       Hasil penelitian ini adalah pada item cerdas, bawah prestasi belajar mahasiswa ditentukan oleh temen bergaulnya. Pada item gemar, rasa gemar mahasiswa terhadap bidang ilmu mendorong mahasiswa untuk mengeksplorasi kemampuannya. Pada item sabar kebanyakan dari mahasiswa merasa down ketika mengalami kesulitan dalam belajar sehingga prestasi belajarnya menurun. Pada item biaya, bahwa semua mahasiswa prodi akuntansi FE UTM telah mampu secara financial, namun sedikit sekali mahasiswa yang melakukan waraâ. Pada item petunjuk guru, bahwa tidak semua dosen memberikan motivasi dan solusi pada mahasiswa yang menyelesaikan tugas akhir. Pada item waktunya lama, bahwa kebanyakan mahasiswa mengalami keterlambatan kuliah karena tidak lulus mata kuliah pra syarat dan ketidakfahaman terhadap tugas akhir yang dikerjakannya. 
Kata kunci : Mindset mahasiswa, Pemilihan konsentrasi, Prestasi Belajar, Diwan Imam Syafiâi
"
"ANALISIS KONTRIBUSI PARIWISATA DAN PERPARKIRAN TERHADAP
PENDAPATAN ASLI DAERAH (PAD) KABUPATEN SUMENEP",Penulis : ANDI MARIYANTO,"Dosen Pembimbing I : DR.Prasetyono, S.E., M.Si., Ak","Dosen Pembimbing II :Rindah Febriana Suryawati, S.E, MAcc., Ak.","Andi Mariyanto, Analisis Kontribusi Pariwisata dan Perparkiran Terhadap
Pendapatan Asli Daerah ( PAD) Kabupaten Sumenep. Dibawah bimbingan
DR.Prasetyono, S.E., M.Si., Ak. dan Rindah Febriana Suryawati, S.E, MAcc., Ak.
Tujuan Penelitian ini untuk mengetahui kontribusi pariwisata dan perparkiran
terhadap pendapatan asli daerah di Kabupaten Sumenep pada periode tahun 2011
hingga tahun 2012. Metode yang dilakukan dalam penelitian ini menggunakan
penelitian kuantitatif dengan pendekatan deskriptif dalam penelitian ini ingin
mengetahui porsentase pariwisata dan perparkiran terhadap pendapatan asli daerah
di Kabupaten Sumenep.
Hasil penelitian ini menunjukan bahwa kontribusi pariwisata dan perparkiran
dapat mempengaruhi pendapatan asli daerah Kabupaten Sumenep sebagaimana di
jelaskan dalam presentase Pariwisata pada tahun 2011 mencapai 0,10%, tahun
2012 mencapai 0,44%. Sedangkan retribusi parkir memberikan kontribusi terhadap
pendapatan asli daerah yaitu pada tahun 2011 mencapai 0,18%, tahun 2012
mencapai 3,22%. Nilai kontribusi ini dapat terus ditingkatkan dengan menemukan
potensi-potensi penerimaan retribusi pariwisata dan parkir dengan memaksimalkan
perolehan dari sumber-sumber pariwisata dan perparkiran yang sudah ada.
Kata Kunci : Kontribusi pariwisata dan perparkiran Pedapatan Asli Daerah."
IMPLEMENTASI SISTEM INFORMASI AKUNTANSI PADA PONDOK PESANTREN ,Penulis : ABDUL JALIL,"Dosen Pembimbing I : Prof.Dr.H.Moh.Nizarul Alim,SE.,Msi.,Ak,.CA","Dosen Pembimbing II :Citra Nurhayati,SE.,MA.,Ak.,CA","Penelitian ini bertujuan untuk menerapkan sistem informasi akuntansi pada Pondok Pesantren Nurul Amanah. Informan dalam penelitian ini adalah pengasuh dan bendahara pada setiap lembaga di Pondok Pesantren Nurul Amanah. Data dikumpulkan dari wawancara langsung dengan informan penelitian dan dianalisa berdasarkan teori sistem informasi akuntansi beserta PSAK No. 45 tentang organisasi nirlaba dengan pendekatan fenomenologi. 
Hasil penelitian menunjukkan bahwa pada Pondok Pesantren Nurul Amanah sistem informasi akuntansi dan pelaporan masih terkesan sederhana, hal itu dibuktikan dengan tidak terkonsepnya penyampaian informasi dari setiap lembaga kepada pihak internal dan pihak eksternal yang berkaitan dengan Pondok Pesantren Nurul Amanah. Maka dari itu peneliti menyarankan penerapan sistem informasi akuntansi dan tata cara pelaporan keuangan berdasarkan hasil analisa yang telah disesuaikan dengan teori yang ada.
Kata Kunci: Sistem Informasi Akuntansi, Laporan Keuangan Nirlaba 
"
ANALISIS FAKTOR â FAKTOR YANG MEMPENGARUHI KEGAGALAN AUDITOR EKSTERNAL MENDETEKSI KECURANGAN LAPORAN KEUANGAN ( Studi Kasus Aditor Eksternal yang Bekerja di KAP Surabaya ) ,Penulis : Suriyanto,"Dosen Pembimbing I : Dr. Tarjo, S.E., M.Si., CFE ","Dosen Pembimbing II :Muhammad Syam Kusufi.S.E.., M.Sc..,Ak","Penelitian ini bertujuan untuk menguji dan menganalisi pengaruh pengalaman auditor, independensi auditor, tekanan anggaran waktu dan  tekanan kompetisi fee audit terhadap kegagalan auditor mendeteksi kecurangan laporan keuangan. Populasi dalam penelitian ini adalah auditor eksternal yang bekerja di Kantor Akuntan Publik (KAP) Surabaya. Teknik pengambilan sampel yang digunakan dalam penelitian ini adalah teknik Probability Sampling yaitu dengan Simple Random Sampling. Jumlah sample dalam penelitian ini tidak diketahui sehingga  dalam penelitian ini menggunakan rumus Sugiyono (2008) yang diperoleh minimal sebanyak  50  responden dan dalam sample yang mampu dikumpulkan peneliti ini sebanyak 56 responden. Data penelitian ini menggunakan data primer yang diperoleh secara langsung melalui kueisoner dan dianalisis menggunakan bantuan program SPSS 17.0. Teknik analisis data untuk menguji hipotesis dalam penelitian ini menggunakan pendekatan analisis regresi berganda.
Hasil dari penelitian ini menunjukkan bahwa variabel pengalaman auditor dan variabel independensi auditor tidak berpengaruh signifikan terhadap kegagalan auditor mendeteksi kecurangan laporan keuangan. Sedangkan variabel tekanan anggaran waktu dan tekanan kompetisi fee audit dalam penelitian ini berpengaruh signifikan terhadap kegagalan auditor dalam mendeteksi kecurangan laporan keuangan.

Kata Kunci : Pengalaman auditor, independensi auditor, tekanan anggaran waktu, tekanan kompetisi fee audit dan kegagalan auditor eksternal mendeteksi kecurangan laporan keuangan.    
"
"PENGARUH KESADARAN WAJIB PAJAK, PELAYANAN FISKUS DAN SANKSI PAJAK TERHADAP KEPATUHAN WAJIB PAJAK ORANG PRIBADI YANG MELAKUKAN KEGIATAN USAHA DAN PEKERJAAN BEBAS",Penulis : Taufik Haryadi,"Dosen Pembimbing I : Nurul Herawati, SE., M.Si., Ak","Dosen Pembimbing II :Anis Wulandari, SE., M.SA., Ak","Tujuan penelitian ini adalah untuk mengetahui pengaruh kesadaran wajib pajak, pelayanan fiskus, sanksi pajak terhadap kepatuhan wajib pajak. Populasi dalam penelitian ini adalah para wajib pajak orang pribadi yang melakukan kegiatan usaha dan pekerjaan bebas yang berada di bawah naungan KPP Sidoarjo Barat. Teknik pengambilan sampel pada penelitian ini menggunakan Nonprobability sampling dengan metode Sampling Aksidental. Metode pengumpulan data primer yang digunakan adalah metode surve dengan menggunakan media kuesioner dan wawancara. Teknik analisis data dalam penelitian ini adalah analisis regresi linier berganda. Berdasarkan hasil analisis yang dilakukan maka diperoleh kesimpulan bahwa kesadaran wajib pajak, pelayanan fiskus, dan saksi pajak berpengaruh positif dan signifikan terhadap kepatuhan wajib pajak.
Kata kunci : kepatuhan wajib pajak, kesadaran wajib pajak, pelayanan fiskus, sanksi pajak."
